"","Year","Month","Canton","Cases"
"6788",2008,7,"SantaCruz",19
"6789",2008,8,"SantaCruz",16
"6790",2008,9,"SantaCruz",10
"6791",2008,10,"SantaCruz",21
"6792",2008,11,"SantaCruz",28
"6793",2008,12,"SantaCruz",12
"6794",2009,1,"SantaCruz",23
"6795",2009,2,"SantaCruz",2
"6796",2009,3,"SantaCruz",5
"6797",2009,4,"SantaCruz",1
"6798",2009,5,"SantaCruz",1
"6799",2009,6,"SantaCruz",5
"6800",2009,7,"SantaCruz",9
"6801",2009,8,"SantaCruz",7
"6802",2009,9,"SantaCruz",2
"6803",2009,10,"SantaCruz",9
"6804",2009,11,"SantaCruz",21
"6805",2009,12,"SantaCruz",30
"6806",2010,1,"SantaCruz",43
"6807",2010,2,"SantaCruz",67
"6808",2010,3,"SantaCruz",78
"6809",2010,4,"SantaCruz",60
"6810",2010,5,"SantaCruz",95
"6811",2010,6,"SantaCruz",334
"6812",2010,7,"SantaCruz",782
"6813",2010,8,"SantaCruz",388
"6814",2010,9,"SantaCruz",164
"6815",2010,10,"SantaCruz",151
"6816",2010,11,"SantaCruz",89
"6817",2010,12,"SantaCruz",49
"6818",2011,1,"SantaCruz",16
"6819",2011,2,"SantaCruz",7
"6820",2011,3,"SantaCruz",3
"6821",2011,4,"SantaCruz",2
"6822",2011,5,"SantaCruz",2
"6823",2011,6,"SantaCruz",5
"6824",2011,7,"SantaCruz",5
"6825",2011,8,"SantaCruz",5
"6826",2011,9,"SantaCruz",11
"6827",2011,10,"SantaCruz",21
"6828",2011,11,"SantaCruz",36
"6829",2011,12,"SantaCruz",23
"6830",2012,1,"SantaCruz",12
"6831",2012,2,"SantaCruz",9
"6832",2012,3,"SantaCruz",5
"6833",2012,4,"SantaCruz",1
"6834",2012,5,"SantaCruz",8
"6835",2012,6,"SantaCruz",47
"6836",2012,7,"SantaCruz",32
"6837",2012,8,"SantaCruz",39
"6838",2012,9,"SantaCruz",114
"6839",2012,10,"SantaCruz",173
"6840",2012,11,"SantaCruz",279
"6841",2012,12,"SantaCruz",204
"6842",2013,1,"SantaCruz",109
"6843",2013,2,"SantaCruz",71
"6844",2013,3,"SantaCruz",42
"6845",2013,4,"SantaCruz",46
"6846",2013,5,"SantaCruz",41
"6847",2013,6,"SantaCruz",74
"6848",2013,7,"SantaCruz",284
"6849",2013,8,"SantaCruz",785
"6850",2013,9,"SantaCruz",663
"6851",2013,10,"SantaCruz",513
"6852",2013,11,"SantaCruz",231
"6853",2013,12,"SantaCruz",50
"6854",2014,1,"SantaCruz",51
"6855",2014,2,"SantaCruz",3
"6856",2014,3,"SantaCruz",6
"6857",2014,4,"SantaCruz",2
"6858",2014,5,"SantaCruz",5
"6859",2014,6,"SantaCruz",6
"6860",2014,7,"SantaCruz",21
"6861",2014,8,"SantaCruz",18
"6862",2014,9,"SantaCruz",42
"6863",2014,10,"SantaCruz",122
"6864",2014,11,"SantaCruz",266
"6865",2014,12,"SantaCruz",250
"6866",2015,1,"SantaCruz",148
"6867",2015,2,"SantaCruz",20
"6868",2015,3,"SantaCruz",4
"6869",2015,4,"SantaCruz",6
"6870",2015,5,"SantaCruz",7
"6871",2015,6,"SantaCruz",5
"6872",2015,7,"SantaCruz",11
"6873",2015,8,"SantaCruz",60
"6874",2015,9,"SantaCruz",80
"6875",2015,10,"SantaCruz",425
"6876",2015,11,"SantaCruz",454
"6877",2015,12,"SantaCruz",364
"6878",2016,1,"SantaCruz",154
"6879",2016,2,"SantaCruz",50
"6880",2016,3,"SantaCruz",11
"6881",2016,4,"SantaCruz",4
