"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp_mean","meantemp_mean","maxtemp_mean","minumid_mean","meanumid_mean","maxumid_mean","pop","inc_level","receptive","transmission","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2020-08-23,202035,19,19,19,19,NA,28.512690248848,33.3686635944701,34.7806948847926,56.3541545529954,NA,3268037,0,NA,0,3,0,"PI",0,155.307692307692,34.1320974575614
2020-08-30,202036,17,17,17,17,NA,29.2783548571429,34.3456221198157,29.5240992165899,47.8549397004608,NA,3268037,0,NA,0,3,0,"PI",0,155.307692307692,34.1320974575614
2020-09-06,202037,16,16,16,16,NA,29.4662674562212,34.1198156682028,31.355601483871,48.1454618479263,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-09-13,202038,21,21,21,21,NA,29.6776753732719,34.8202764976959,29.1411553179723,50.0510202073733,NA,3268037,0,NA,0,3,0,"PI",0,155.307692307692,34.1320974575614
2020-09-20,202039,23,23,23,23,NA,30.0369491612903,34.963133640553,32.7064163271889,53.5789519769585,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-09-27,202040,10,10,10,10,NA,29.7126917880184,35.1198156682027,31.6275918018433,54.143786,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-10-04,202041,8,8,8,8,NA,30.414123235023,36.6313364055299,27.3732835299539,51.0839438018433,NA,3268037,0,NA,0,3,0,"PI",0,155.307692307692,34.1320974575614
2020-10-11,202042,16,16,16,16,NA,29.7496988847926,35.2442396313364,31.7165702211981,54.2844950184332,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-10-18,202043,12,12,12,12,NA,30.298094921659,36.1520737327189,30.8494022211982,53.6833000276498,NA,3268037,0,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
2020-10-25,202044,11,11,11,11,NA,30.1343451059908,34.9400921658986,37.8247243870968,58.8741948525346,NA,3268037,0,NA,0,3,0,"PI",0,155.307692307692,34.1320974575614
2020-11-01,202045,10,10,10,10,NA,27.7797407557604,32.0230414746544,53.4100611336405,73.8548687511521,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-11-08,202046,15,15,15,15,NA,29.1421796129033,33.7695852534562,42.5796564331797,63.7327317926267,NA,3268037,0.0042349581721382,NA,0.0042349581721382,4,0,"PI",0,191.076923076923,56.0283917641581
2020-11-15,202047,19,19,19,19,NA,28.7035049124424,32.9907834101383,48.5938006036866,68.7672313548387,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-11-22,202048,11,11,11,11,NA,27.6651563533026,31.5745007680492,51.1908682995392,69.8029458202765,NA,3268037,0,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
2020-11-29,202049,17,17,17,17,NA,NA,NA,NA,NA,NA,3268037,0,NA,0,3,0,"PI",0,155.307692307692,34.1320974575614
2020-12-06,202050,12,12,12,12,NA,NA,NA,NA,NA,NA,3268037,0,NA,0,5,0,"PI",0,226.846153846154,77.9246860707549
2020-12-13,202051,14,14,14,14,NA,NA,NA,NA,NA,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-12-20,202052,11,11,11,11,NA,NA,NA,NA,NA,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-12-27,202053,4,4,4,4,NA,28.7921594516129,34.8870967741936,44.5180032096774,67.1564010645161,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2021-01-03,202101,23,23,23,23,NA,28.763605078341,33.9861751152074,42.9518547235023,65.9629289124424,NA,3268037,0,0.00776827190145032,0,0,0,"PI",0,48,0
2021-01-10,202102,26,26,26,26,NA,27.6438351797235,32.0829493087557,51.9929902073733,72.990268875576,NA,3268037,0.00167072771819903,0.00208534970687296,0.00167072771819903,4,0,"PI",0,191.076923076923,56.0283917641581
2021-01-17,202103,28,28,28,28,NA,26.6779596313364,30.8986175115207,54.9924372995392,74.6130840691244,NA,3268037,0.00167072771819903,0.0109729479806991,0,3,0,"PI",0,155.307692307692,34.1320974575614
