"ew_start","sum_of_cases","dengue","sintomas.dengue","tratamento.dengue","uf","lwr","upr","prediction"
2022-07-17,971,5,3,0,"SC",-1120.85128698644,2481.65513365162,680.401923332591
2022-07-24,726,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2022-07-31,653,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2022-08-07,483,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2022-08-14,460,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2022-08-21,441,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2022-08-28,367,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2022-09-04,387,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2022-09-11,373,4,1,1,"SC",-813.216000895166,2789.29041974289,988.037209423863
2022-09-18,326,3,0,0,"SC",-1807.55844282034,1794.94797781772,-6.30523250131057
2022-09-25,326,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2022-10-02,263,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2022-10-09,290,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2022-10-16,515,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2022-10-23,404,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2022-10-30,351,3,0,0,"SC",-1807.55844282034,1794.94797781772,-6.30523250131057
2022-11-06,425,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2022-11-13,481,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2022-11-20,446,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2022-11-27,441,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2022-12-04,552,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2022-12-11,429,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2022-12-18,352,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2022-12-25,441,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2023-01-01,517,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2023-01-08,517,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2023-01-15,511,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2023-01-22,649,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2023-01-29,890,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2023-02-05,1153,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2023-02-12,1267,5,1,0,"SC",-1266.72106923203,2335.78535140602,534.532141086994
2023-02-19,1686,6,2,1,"SC",-272.378627306861,3330.1277933312,1528.87458301217
2023-02-26,3150,9,3,1,"SC",502.409987514197,4104.91640815225,2303.66319783323
2023-03-05,4907,17,6,1,"SC",2592.82459074462,6195.33101138267,4394.07780106365
2023-03-12,8013,31,12,1,"SC",6305.75131473995,9908.25773537801,8107.00452505898
2023-03-19,11939,43,17,1,"SC",9477.84066514698,13080.347085785,11279.093875466
2023-03-26,15406,65,21,1,"SC",14916.5075367587,18519.0139573968,16717.7607470778
2023-04-02,16840,75,22,1,"SC",17328.9548402091,20931.4612608471,19130.2080505281
2023-04-09,18624,69,22,2,"SC",16612.7037023822,20215.2101230202,18413.9569127012
2023-04-16,18745,64,19,1,"SC",14536.6865132804,18139.1929339185,16337.9397235994
2023-04-23,19261,73,21,2,"SC",17475.5737761904,21078.0801968284,19276.8269865094
2023-04-30,19926,68,21,2,"SC",16305.8175700266,19908.3239906647,18107.0707803457
2023-05-07,19124,58,19,1,"SC",13132.9790658839,16735.4854865219,14934.2322762029
2023-05-14,15929,52,15,1,"SC",11437.5320539962,15040.0384746342,13238.7852643152
2023-05-21,11773,46,14,1,"SC",9960.88971547685,13563.3961361149,11762.1429257959
2023-05-28,9868,32,9,1,"SC",6320.89788260431,9923.40430324237,8122.15109292334
2023-06-04,7540,26,8,1,"SC",4844.25554408499,8446.76196472305,6645.50875440402
2023-06-11,6453,18,6,1,"SC",2826.77583197737,6429.28225261543,4628.0290422964
2023-06-18,4755,16,5,0,"SC",1598.48214881944,5200.9885694575,3399.73535913847
2023-06-25,3971,14,5,0,"SC",1130.57966635394,4733.08608699199,2931.83287667297
2023-07-02,3280,14,4,0,"SC",1057.64477523114,4660.1511958692,2858.89798555017
2023-07-09,2340,10,3,0,"SC",48.9049191773286,3651.41133981538,1850.15812949636
2023-07-16,1720,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2023-07-23,1445,7,2,0,"SC",-725.883695643729,2876.62272499433,1075.3695146753
2023-07-30,1470,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2023-08-06,1127,5,1,0,"SC",-1266.72106923203,2335.78535140602,534.532141086994
2023-08-13,1247,5,1,0,"SC",-1266.72106923203,2335.78535140602,534.532141086994
2023-08-20,986,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2023-08-27,924,5,1,1,"SC",-579.264759662412,3023.24166097564,1221.98845065662
2023-09-03,883,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2023-09-10,1047,5,1,0,"SC",-1266.72106923203,2335.78535140602,534.532141086994
2023-09-17,1097,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2023-09-24,1018,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2023-10-01,1006,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2023-10-08,890,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2023-10-15,1086,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2023-10-22,1055,5,2,0,"SC",-1193.78617810924,2408.72024252882,607.467032209792
2023-10-29,849,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2023-11-05,1168,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2023-11-12,882,5,1,0,"SC",-1266.72106923203,2335.78535140602,534.532141086994
2023-11-19,1157,7,1,0,"SC",-798.818586766528,2803.68783387153,1002.4346235525
2023-11-26,1363,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2023-12-03,1434,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2023-12-10,1475,6,2,0,"SC",-959.834936876483,2642.67148376157,841.418273442546
2023-12-17,1123,7,2,0,"SC",-725.883695643729,2876.62272499433,1075.3695146753
2023-12-24,905,8,2,0,"SC",-491.932454410976,3110.57396622708,1309.32075590805
2023-12-31,2249,8,3,0,"SC",-418.997563288178,3183.50885734988,1382.25564703085
2024-01-07,2882,10,3,0,"SC",48.9049191773286,3651.41133981538,1850.15812949636
2024-01-14,3542,11,4,0,"SC",355.79105153288,3958.29747217094,2157.04426185191
2024-01-21,4873,16,5,0,"SC",1598.48214881944,5200.9885694575,3399.73535913847
2024-01-28,6123,23,6,0,"SC",3309.07572857151,6911.58214920957,5110.32893889054
2024-02-04,6500,41,11,0,"SC",7884.87252637506,11487.3789470131,9686.12573669409
2024-02-11,3854,52,15,1,"SC",11437.5320539962,15040.0384746342,13238.7852643152
2019-03-03,20987,16,5,0,"SP",17617.447041869,34456.0887354828,26036.7678886759
2019-03-10,24919,18,5,0,"SP",19763.3115639128,36601.9532575266,28182.6324107197
2019-03-17,28644,18,5,0,"SP",19763.3115639128,36601.9532575266,28182.6324107197
2019-03-24,32768,21,6,0,"SP",25360.8180427396,42199.4597363534,33780.1388895465
2019-03-31,36380,23,6,1,"SP",27004.5592288212,43843.2009224349,35423.880075628
2019-04-07,39843,20,6,0,"SP",24287.8857817177,41126.5274753315,32707.2066285246
2019-04-14,41134,22,6,1,"SP",25931.6269677993,42770.268661413,34350.9478146061
2019-04-21,44071,25,8,1,"SP",33907.8431423871,50746.4848360008,42327.163989194
2019-04-28,43621,25,8,1,"SP",33907.8431423871,50746.4848360008,42327.163989194
2019-05-05,46404,26,8,1,"SP",34980.775403409,51819.4170970228,43400.0962502159
2019-05-12,43683,26,8,1,"SP",34980.775403409,51819.4170970228,43400.0962502159
2019-05-19,34550,31,8,1,"SP",40345.4367085185,57184.0784021322,48764.7575553254
2019-05-26,25825,21,7,1,"SP",27237.4044025384,44076.0460961522,35656.7252493453
2019-06-02,19183,16,5,0,"SP",17617.447041869,34456.0887354828,26036.7678886759
2019-06-09,16264,14,5,0,"SP",15471.5825198252,32310.224213439,23890.9033666321
2019-06-16,12701,12,4,0,"SP",10947.0083020204,27785.6499956342,19366.3291488273
2019-06-23,11065,12,4,0,"SP",10947.0083020204,27785.6499956342,19366.3291488273
2019-06-30,6722,8,3,0,"SP",4276.56956217173,21115.2112557855,12695.8904089786
